file,scope,A1_dupcorrect,A2_xlinks,A3_parity,A4_balance,A5_sections,B6_freshness,B7_code,C9_load,notes
ai-ml/ai-application-architecture-interview,Q32,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,FILE,,PASS,PASS,A8+B8+C8+D8,,FIXED:3,FIXED:1,LOAD-OK,
ai-ml/ai-compliance-governance-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q4,PASS,PASS,,,PASS,fixed,OK,,
ai-ml/ai-compliance-governance-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q14,PASS,PASS,,,PASS,fixed,OK,,
ai-ml/ai-compliance-governance-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q16,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q19,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q23,PASS,PASS,,,PASS,OK,fixed,,
ai-ml/ai-compliance-governance-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q29,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q30,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q31,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-compliance-governance-interview,Q32,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,FILE,,PASS,PASS,A7+B7+C7+D7,,OK,OK,LOAD-OK,
ai-ml/ai-observability-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q4,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q14,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q16,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q19,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q23,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-observability-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,FILE,,PASS,PASS,A8+B8+C8+D8,,OK,OK,LOAD-OK,
ai-ml/ai-safety-guardrails-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q4,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q14,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q16,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q19,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q23,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q29,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q30,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q31,PASS,PASS,,,PASS,OK,OK,,
ai-ml/ai-safety-guardrails-interview,Q32,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,FILE,,PASS,PASS,A8+B8+C8+D7,,OK,OK,LOAD-OK,
ai-ml/code-agents-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q4,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q14,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q16,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q19,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q23,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q29,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q30,PASS,PASS,,,PASS,OK,OK,,
ai-ml/code-agents-interview,Q31,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,FILE,,PASS,PASS,A8+B7+C7+D7,,OK,FIXED:1,LOAD-OK,
ai-ml/embeddings-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q4,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q14,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q16,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q19,PASS,PASS,,,PASS,OK,fixed,,
ai-ml/embeddings-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q23,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/embeddings-interview,Q29,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,FILE,,PASS,PASS,A9+B9+C9+D8,,FIXED:4,OK,LOAD-OK,
ai-ml/fine-tuning-llm-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q4,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q14,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q16,PASS,PASS,,,PASS,fixed,OK,,
ai-ml/fine-tuning-llm-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q19,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q23,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q29,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q30,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q31,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q32,PASS,PASS,,,PASS,OK,OK,,
ai-ml/fine-tuning-llm-interview,Q33,PASS,PASS,,,PASS,fixed,OK,,
ai-ml/fine-tuning-llm-interview,Q34,PASS,PASS,,,PASS,fixed,OK,,
ai-ml/fine-tuning-llm-interview,Q35,PASS,PASS,,,PASS,fixed,OK,,
ai-ml/function-calling-interview,FILE,,PASS,PASS,A8+B8+C7+D7,,OK,OK,LOAD-OK,
ai-ml/function-calling-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q4,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q5,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q6,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q7,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q8,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q9,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q10,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q11,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q12,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q13,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q14,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q15,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q16,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q17,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q18,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q19,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q20,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q21,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q22,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q23,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q24,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q25,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q26,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q27,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q28,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q29,PASS,PASS,,,PASS,OK,OK,,
ai-ml/function-calling-interview,Q30,PASS,PASS,,,PASS,OK,OK,,
ai-ml/inference-optimization-interview,FILE,,PASS,PASS,A9+B9+C9+D9,,OK,OK,LOAD-OK,
ai-ml/inference-optimization-interview,Q1,PASS,PASS,,,PASS,OK,OK,,
ai-ml/inference-optimization-interview,Q2,PASS,PASS,,,PASS,OK,OK,,
ai-ml/inference-optimization-interview,Q3,PASS,PASS,,,PASS,OK,OK,,
