noteId,containerId,projectName,taskTitle,action,timestamp
N-T-c9b610cc-2724-43d6-8ffd-e195a0faccb5,T-c9b610cc-2724-43d6-8ffd-e195a0faccb5,Учёба,Темы для повторения → указатель на атомарный план,reformat,2026-06-02
N-T-84507082-aa58-4a6c-b5e7-af3df685f100,T-84507082-aa58-4a6c-b5e7-af3df685f100,Учёба,Мастер-чеклист → v2 логический порядок + 🔴-приоритеты (путь roadmap в корень),reformat,2026-06-02
N-T-09718143-5a5b-4000-90bd-4a87d3251bd5,T-09718143-5a5b-4000-90bd-4a87d3251bd5,Учёба,Директива «Разобрать план» → v2 (root path + ресурсы),reformat,2026-06-02
N-T-996f81dd-8ad2-415f-8e7c-358c0b283e03,T-996f81dd-8ad2-415f-8e7c-358c0b283e03,Финансы,План инвестирования → 2026-актуализация (ставка/тикеры/ИИС-3/крипта),actualize+reformat,2026-06-08
N-T-935cad0a-92cc-4d16-9432-aaa523633298,T-935cad0a-92cc-4d16-9432-aaa523633298,Личное,Машина 2025 → Машина 2026 (утильсбор/доступные модели б/у и новые),actualize+reformat+rename,2026-06-08
N-T-0aa8ad6e-b77f-4a07-9ed2-02c900a83bc6,T-0aa8ad6e-b77f-4a07-9ed2-02c900a83bc6,Личное,Идеи путешествий → 2026-актуализация (цены/перелёты/виза: Шенген через хаб, TDAC, TUI→Fun&Sun),actualize,2026-06-08
N-T-03d19c79-b207-4f98-80ca-a0bf81a13086,T-03d19c79-b207-4f98-80ca-a0bf81a13086,Здоровье,План приёма добавок → +блоки снабжения(iHerb)/статуса(Rx); дозы НЕ менялись,actualize-additive,2026-06-09
N-T-03c3a201-c596-4fd7-819a-3a84afafb0d2,T-03c3a201-c596-4fd7-819a-3a84afafb0d2,Здоровье,Препараты и БАДы → +блоки снабжения/статуса(ISRIB не БАД, Rx); перечень НЕ менялся,actualize-additive,2026-06-09
N-T-35a3586b-d25d-4f64-81f4-3d0d7f9d5036,T-35a3586b-d25d-4f64-81f4-3d0d7f9d5036,?,onboarding-faq-tasks-calendars,deleted,2026-06-09
N-T-54428577-3d40-4a7c-a179-3ed635f6fe63,T-54428577-3d40-4a7c-a179-3ed635f6fe63,?,onboarding-provremya-journal,deleted,2026-06-09
N-T-72e64221-6fd6-4cf6-9da7-fb96a9e635d1,T-72e64221-6fd6-4cf6-9da7-fb96a9e635d1,?,onboarding-template-projects,deleted,2026-06-09
N-T-76e12adc-a0b1-4ddf-bb4e-ed1291a338d2,T-76e12adc-a0b1-4ddf-bb4e-ed1291a338d2,?,onboarding-digital-declutter,deleted,2026-06-09
N-T-8001ed04-6b03-4dbe-916a-59192e2a2613,T-8001ed04-6b03-4dbe-916a-59192e2a2613,?,onboarding-pomodoro-timer,deleted,2026-06-09
N-T-83a9a959-dc0f-441a-b2f6-a8095d193baf,T-83a9a959-dc0f-441a-b2f6-a8095d193baf,?,onboarding-cleaning-template,deleted,2026-06-09
N-T-83c349a9-3fa2-48e1-81ca-99f109165f98,T-83c349a9-3fa2-48e1-81ca-99f109165f98,?,onboarding-meal-plan-template,deleted,2026-06-09
N-T-863a6d1a-19f4-4aaa-9dfe-d71806d6a904,T-863a6d1a-19f4-4aaa-9dfe-d71806d6a904,?,onboarding-sections-howto,deleted,2026-06-09
N-T-8a5d12ca-c393-4e5c-bb4a-e9190e159c8c,T-8a5d12ca-c393-4e5c-bb4a-e9190e159c8c,?,onboarding-plan-evening,deleted,2026-06-09
N-T-94fa9296-1320-41ea-a639-6d088f3105e5,T-94fa9296-1320-41ea-a639-6d088f3105e5,?,onboarding-telegram-bot,deleted,2026-06-09
N-T-4a8cf360-9cff-4ac0-9b70-4cfd4ff63602,T-4a8cf360-9cff-4ac0-9b70-4cfd4ff63602,Работа,jira-check-tickets,deleted,2026-06-09
N-T-1d16ed3f-4172-4dc0-893a-d290fe171479,T-1d16ed3f-4172-4dc0-893a-d290fe171479,Личное,instagram-reels-links,deleted,2026-06-09
N-T-0064643c-346d-4aeb-a788-94e7f6ce7362,T-0064643c-346d-4aeb-a788-94e7f6ce7362,Учёба,java-topics-todo-recurring,deleted,2026-06-09
N-T-2115f5c1-013f-4024-bfb5-861d15cca3bc,T-2115f5c1-013f-4024-bfb5-861d15cca3bc,Здоровье,phenotropil-plan,flag-review,2026-06-09
N-T-1c47fd45-c95c-48be-84f2-5c4eb13fa5cf,T-1c47fd45-c95c-48be-84f2-5c4eb13fa5cf,Здоровье,hrt-plan-20250220,flag-review,2026-06-09
N-T-8d17af25-9ca8-4456-ba8d-1d8b7956e1f5,T-8d17af25-9ca8-4456-ba8d-1d8b7956e1f5,Здоровье,testosterone-anastrozole,flag-review,2026-06-09
N-T-75281ddc-13a4-461b-93a5-68a70c082557,T-75281ddc-13a4-461b-93a5-68a70c082557,Здоровье,marijuana-effects-essay,flag-review,2026-06-09
N-T-60b4ced6-5590-4568-aa57-83fa33f36bec,T-60b4ced6-5590-4568-aa57-83fa33f36bec,Здоровье,beginner-workout-program,flag-review,2026-06-09
N-T-70dfc003-02fa-4866-8170-79b6fae79e06,T-70dfc003-02fa-4866-8170-79b6fae79e06,Личное,personal-plans-todo,trim-done-items,2026-06-09
N-T-03d19c79-b207-4f98-80ca-a0bf81a13086,T-03d19c79-b207-4f98-80ca-a0bf81a13086,Здоровье,daily-supplement-plan,deleted,2026-06-09
N-T-99cdeca6-724c-4a91-96fb-0aa63df5712c,T-99cdeca6-724c-4a91-96fb-0aa63df5712c,Списки,Список целей/желаний/хотелок,readability-strip-llm-preamble,2026-06-09
N-T-209a7b8b-e138-4366-8df3-08ff0637b5da,T-209a7b8b-e138-4366-8df3-08ff0637b5da,Списки,Фильмы/музыка/сериалы/путешествия/книги,readability-strip-llm-preamble,2026-06-09
N-T-a56fad5d-efdf-43aa-89a0-1c6a5cc7bc54,T-a56fad5d-efdf-43aa-89a0-1c6a5cc7bc54,Здоровье,Курс приема тестостерона,deleted-duplicate-of-T-1c47fd45,2026-06-10
